dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.08091667,-5.625527778,41,2_3,2,3,5_1,Control,10/05/2019,1,16/08/2019,21/08/2019,2,29,5,2,13/09/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.08091667,-5.625527778,41,2_29,2,29,5,Control,05/02/2019,1,09/09/2019,23/09/2019,2,23.5,12,1,NA,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_7,4,7,4,Control,09/05/2019,1,24/07/2019,02/08/2019,2,28,7,1,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_7,4,7,5,Control,05/02/2019,1,09/04/2019,NA,1,18.5,3,0,23/04/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_23,4,23,3_2,Control,13/05/2019,1,11/10/2019,17/10/2019,1,30,11,1,NA,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_27,4,27,2,Control,05/02/2019,1,12/04/2019,16/04/2019,2,25,2,0,17/05/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_27,4,27,6,Control,08/05/2019,1,14/07/2019,18/07/2019,2,18.5,6,0,19/08/2019,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_28,4,28,1,Control,08/05/2019,1,18/08/2019,NA,1,31,2,1,13/09/2019,30/04/2019
Durham,vernalisation,ASK,star2,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_28,4,28,2,Control,08/05/2019,1,29/07/2019,01/08/2019,1,22,4,2,28/08/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.15083333,-5.704944444,36,4_A,4,A,6,Control,05/02/2019,1,10/08/2019,11/08/2019,2,33,12,4,09/09/2019,23/01/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.73955833,-3.92635,24,Tor_4,Tor,4,6,Control,05/02/2019,1,05/04/2019,09/04/2019,2,17.5,6,2,03/05/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.73955833,-3.92635,24,Tor_4,Tor,4,6_1,Control,09/05/2019,1,19/07/2019,24/07/2019,2,16,5,1,12/08/2019,30/04/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_1,1,1,6_1,Control,15/05/2019,1,30/09/2019,NA,1,25,13,0,01/11/2019,30/04/2019
Durham,vernalisation,ASK,star,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_26,1,26,6,Control,05/02/2019,1,07/07/2019,NA,1,30.5,5,1,05/08/2019,23/01/2019
Durham,vernalisation,ASK,circle,bienne,Spain,Spain South A,Spain South,36.80044444,-5.392583333,624,1_26,1,26,7,Control,08/05/2019,1,02/11/2019,NA,1,46,5,0,03/12/2019,30/04/2019
